 [2018-05-09 14:11:20.801 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.815 Info] RX	0;255;3;0;9;1367 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.815 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.825 Info] RX	0;255;3;0;9;1378 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.825 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.835 Info] RX	0;255;3;0;9;1388 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.841 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.855 Info] RX	0;255;3;0;9;1399 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.855 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.855 Info] RX	0;255;3;0;9;1410 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.865 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.865 Info] RX	0;255;3;0;9;1421 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.865 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.885 Info] RX	0;255;3;0;9;1432 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.885 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.885 Info] RX	0;255;3;0;9;1442 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.901 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.901 Info] RX	0;255;3;0;9;1454 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.901 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.921 Info] RX	0;255;3;0;9;1464 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.921 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.921 Info] RX	0;255;3;0;9;1475 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.921 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-09 14:11:20.941 Info] RX	0;255;3;0;9;1485 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-09 14:11:20.941 Info] RX	1;0;1;0;24;This is a test message.
