 [2018-05-15 11:52:19.119 Info] RX	0;255;3;0;9;2305 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:19.123 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:19.452 Info] RX	0;255;3;0;9;2637 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:19.456 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:19.589 Info] RX	0;255;3;0;9;2775 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:19.593 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:19.619 Info] RX	0;255;3;0;9;2804 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:19.622 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:19.952 Info] RX	0;255;3;0;9;3137 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:19.955 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:20.091 Info] RX	0;255;3;0;9;3276 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:20.094 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:20.120 Info] RX	0;255;3;0;9;3304 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:20.122 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:20.454 Info] RX	0;255;3;0;9;3640 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:20.458 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:20.588 Info] RX	0;255;3;0;9;3773 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:20.592 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:20.619 Info] RX	0;255;3;0;9;3804 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:20.622 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:20.958 Info] RX	0;255;3;0;9;4143 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:20.961 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:21.089 Info] RX	0;255;3;0;9;4274 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:21.092 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:21.119 Info] RX	0;255;3;0;9;4303 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:21.122 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:21.452 Info] RX	0;255;3;0;9;4636 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:21.455 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:21.588 Info] RX	0;255;3;0;9;4773 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:21.593 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:21.619 Info] RX	0;255;3;0;9;4803 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:21.622 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:21.951 Info] RX	0;255;3;0;9;5136 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:21.954 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:22.088 Info] RX	0;255;3;0;9;5272 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:22.091 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:22.119 Info] RX	0;255;3;0;9;5303 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:22.122 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:22.452 Info] RX	0;255;3;0;9;5636 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:22.455 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:22.588 Info] RX	0;255;3;0;9;5772 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:22.591 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:22.619 Info] RX	0;255;3;0;9;5803 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:22.622 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:22.951 Info] RX	0;255;3;0;9;6135 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:22.955 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:23.088 Info] RX	0;255;3;0;9;6272 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:23.092 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:23.118 Info] RX	0;255;3;0;9;6302 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:23.122 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:23.451 Info] RX	0;255;3;0;9;6635 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:23.454 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:23.588 Info] RX	0;255;3;0;9;6771 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:23.591 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:23.618 Info] RX	0;255;3;0;9;6801 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:23.621 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:23.952 Info] RX	0;255;3;0;9;7135 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:23.955 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:24.087 Info] RX	0;255;3;0;9;7271 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:24.091 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:24.120 Info] RX	0;255;3;0;9;7304 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:24.124 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:24.451 Info] RX	0;255;3;0;9;7634 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:24.454 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:24.588 Info] RX	0;255;3;0;9;7771 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:24.591 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:24.618 Info] RX	0;255;3;0;9;7801 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:24.622 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:24.951 Info] RX	0;255;3;0;9;8134 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:24.954 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:25.089 Info] RX	0;255;3;0;9;8272 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:25.093 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:25.118 Info] RX	0;255;3;0;9;8300 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:25.121 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:25.450 Info] RX	0;255;3;0;9;8633 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:25.453 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:25.587 Info] RX	0;255;3;0;9;8770 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:25.591 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:25.621 Info] RX	0;255;3;0;9;8803 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:25.624 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:25.951 Info] RX	0;255;3;0;9;9134 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:25.955 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:26.087 Info] RX	0;255;3;0;9;9269 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:26.090 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:26.118 Info] RX	0;255;3;0;9;9300 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:26.122 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:26.451 Info] RX	0;255;3;0;9;9632 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
